"","RESPNUM","Q1","Q2","Rec_Age","Q3_01","Q3_02","Q3_03","Q3_04","Q3_05","Q3_06","Q3_07","Q3_08","Q3_09","Q3_10","Q3_11","Q3_12","Q3_13","Q4a_01","Q4a_02","Q4a_03","Q4a_04","Q4a_05","Q4a_06","Q4a_07","Q4a_08","Q4a_09","Q4a_10","Q4a_11","Q4a_12","Q4a_13","Q4a_14","Q4b_01","Q4b_02","Q4b_03","Q4b_04","Q4b_05","Q4b_06","Q4b_07","Q4b_08","Q4b_09","Q4b_10","Q4b_11","Q4b_12","Q4b_13","Q4b_14","Q4c_01","Q4c_02","Q4c_03","Q4c_04","Q4c_05","Q4c_06","Q4c_07","Q4c_08","Q4c_09","Q4c_10","Q4c_11","Q4c_12","Q4c_13","Q4c_14","Q4d_01","Q4d_02","Q4d_03","Q4d_04","Q4d_05","Q4d_06","Q4d_07","Q4d_08","Q4d_09","Q4d_10","Q4d_11","Q4d_12","Q4d_13","Q4d_14","Q4e_01","Q4e_02","Q4e_03","Q4e_04","Q4e_05","Q4e_06","Q4e_07","Q4e_08","Q4e_09","Q4e_10","Q4e_11","Q4e_12","Q4e_13","Q4e_14","Q4f_01","Q4f_02","Q4f_03","Q4f_04","Q4f_05","Q4f_06","Q4f_07","Q4f_08","Q4f_09","Q4f_10","Q4f_11","Q4f_12","Q4f_13","Q4f_14","Q4g_01","Q4g_02","Q4g_03","Q4g_04","Q4g_05","Q4g_06","Q4g_07","Q4g_08","Q4g_09","Q4g_10","Q4g_11","Q4g_12","Q4g_13","Q4g_14","Q4h_01","Q4h_02","Q4h_03","Q4h_04","Q4h_05","Q4h_06","Q4h_07","Q4h_08","Q4h_09","Q4h_10","Q4h_11","Q4h_12","Q4h_13","Q4h_14","Q4i_01","Q4i_02","Q4i_03","Q4i_04","Q4i_05","Q4i_06","Q4i_07","Q4i_08","Q4i_09","Q4i_10","Q4i_11","Q4i_12","Q4i_13","Q4i_14","Q5a_left","Q5a_right","Q5b_left","Q5b_right","Q5c_left","Q5c_right","Q5d_left","Q5d_right","Q5e_left","Q5e_right","Q5f_left","Q5f_right","Q6_01","Q6_02","Q6_03","Q6_04","Q6_05","Q6_06","Q6_07","Q6_08","Q6_09","Q6_10","Q7","StartDate","StartTime","endDate","EndTime","Timetaken"
"60",60,"Male","55 to 64","50 over","8","6","5","6","6","5","7","6","6","5","8","7","8","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","Apple","Nokia","Apple","Nokia","Samsung","Nokia","Dell","IBM","Samsung","Yahoo","Apple","IBM","yes","yes","yes","no","no","yes","no","no","no","no","$90.001 to $120,000","06/04/2017","10:31:57","06/04/2017","11:07:04","35:6"
"61",61,"Female","30 to 34","18 to 34","7","8","4","7","6","7","6","5","4","4","7","5","4","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","yes","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","Apple","IBM","Apple","Yahoo","Microsoft","Nokia","Google","Intel","Samsung","Dell","Apple","Intel","no","no","no","no","yes","no","no","yes","no","no","$90.001 to $120,000","06/04/2017","10:16:21","06/04/2017","10:35:45","19:23"
"62",62,"Male","65 or more","50 over","7","7","7","7","7","7","7","7","7","7","7","7","7","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","no","Apple","Nokia","Sony","Nokia","Samsung","Nokia","Intel","Dell","Samsung","Yahoo","Samsung","Intel","yes","no","yes","no","no","no","no","yes","no","no","$200,001 or more","06/04/2017","10:31:36","06/04/2017","10:37:47","6:10"
"63",63,"Male","65 or more","50 over","6","8","5","8","5","4","7","5","7","5","6","7","7","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","Microsoft","IBM","Sony","Dell","Microsoft","Intel","Sony","Dell","Microsoft","Dell","Samsung","IBM","no","yes","no","no","yes","no","no","yes","no","no","$15,001 to $30,000","06/04/2017","10:33:00","06/04/2017","10:37:50","4:49"
"64",65,"Female","40 to 44","35 to 49","6","5","6","7","2","2","5","3","5","Not at all likely 0","5","5","5","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Nokia","Apple","Samsung","Intel","IBM","Intel","Samsung","Dell","Samsung","Apple","no","no","no","yes","no","no","no","no","no","no","$60,001 to $90,000","06/04/2017","10:38:42","06/04/2017","10:44:45","6:2"
"65",66,"Female","45 to 49","35 to 49","5","5","5","5","5","5","5","5","5","5","5","5","5","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Nokia","Apple","Nokia","Yahoo","Samsung","Intel","Google","IBM","Samsung","Yahoo","Samsung","IBM","no","no","no","yes","no","no","no","no","yes","no","$15,001 to $30,000","06/04/2017","10:36:38","06/04/2017","10:40:12","3:34"
"66",67,"Female","55 to 64","50 over","8","9","7","9","6","9","7","5","5","1","1","8","6","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Microsoft","Samsung","Google","Dell","Google","Samsung","Apple","Samsung","yes","yes","yes","no","no","no","no","no","yes","no","$150,001 to $200,000","06/04/2017","10:35:39","06/04/2017","10:41:54","6:14"
"67",68,"Female","55 to 64","50 over","8","5","2","5","2","5","2","2","2","2","2","2","5","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","yes","yes","yes","yes","no","yes","no","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Microsoft","Nokia","Google","Dell","Microsoft","Samsung","Apple","Samsung","no","yes","yes","no","no","no","yes","yes","yes","no","$150,001 to $200,000","06/04/2017","10:35:35","06/04/2017","10:40:53","5:17"
"68",69,"Female","35 to 39","35 to 49","9","6","7","7","9","4","6","6","3","5","6","9","7","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","Apple","Nokia","Apple","Dell","Microsoft","Nokia","Google","Dell","Microsoft","Dell","Apple","Samsung","yes","yes","yes","no","no","no","no","yes","yes","no","$200,001 or more","06/04/2017","10:36:37","06/04/2017","10:41:13","4:35"
"69",70,"Female","55 to 64","50 over","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","Not at all likely 0","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Nokia","Microsoft","Nokia","Dell","Samsung","Intel","Sony","Dell","Microsoft","Dell","Samsung","Intel","no","no","no","no","no","no","no","no","no","yes","$15,001 to $30,000","06/04/2017","10:35:50","06/04/2017","10:48:59","13:8"
"70",71,"Female","55 to 64","50 over","Not at all likely 0","Extremely likely10","Not at all likely 0","Extremely likely10","Extremely likely10","Not at all likely 0","Extremely likely10","Not at all likely 0","Not at all likely 0","Extremely likely10","Extremely likely10","Extremely likely10","Extremely likely10","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","Apple","Nokia","Sony","Dell","Samsung","Nokia","Google","Dell","Samsung","Dell","Samsung","Yahoo","no","no","no","yes","no","no","no","yes","no","no","$60,001 to $90,000","06/04/2017","10:35:07","06/04/2017","10:40:51","5:43"
"71",72,"Female","65 or more","50 over","8","8","Not at all likely 0","8","Not at all likely 0","8","8","Not at all likely 0","8","8","8","8","8","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","no","yes","yes","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Nokia","IBM","Nokia","Dell","Nokia","Intel","Google","IBM","Google","Samsung","Samsung","IBM","no","no","no","no","yes","no","no","yes","no","no","Less than $15,000","06/04/2017","10:33:12","06/04/2017","10:49:04","15:52"
"72",73,"Male","55 to 64","50 over","5","5","5","5","5","5","5","5","5","5","5","5","5","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","Nokia","Yahoo","Nokia","Samsung","Nokia","Google","Dell","Google","Dell","Yahoo","IBM","no","no","no","no","yes","no","no","yes","yes","no","$45,001 to $60,000","06/04/2017","10:40:55","06/04/2017","10:43:51","2:55"
"73",74,"Male","55 to 64","50 over","Not at all likely 0","2","2","4","3","6","5","Not at all likely 0","Not at all likely 0","Not at all likely 0","4","Not at all likely 0","2","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","Google","Apple","Sony","Dell","Sony","Microsoft","Sony","Dell","Samsung","Dell","Samsung","Apple","no","no","no","yes","no","no","no","yes","yes","no","$60,001 to $90,000","06/04/2017","10:37:18","06/04/2017","10:47:54","10:36"
"74",75,"Male","65 or more","50 over","9","8","6","9","9","9","9","8","6","9","9","8","9","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes","yes","no","yes","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","yes","no","yes","no","no","yes","no","no","yes","no","no","yes","yes","no","yes","no","yes","no","no","no","yes","yes","yes","no","no","yes","yes","no","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Sony","Yahoo","Sony","Microsoft","Google","IBM","Google","Yahoo","Apple","IBM","no","no","no","yes","no","no","no","yes","yes","no","$60,001 to $90,000","06/04/2017","10:37:53","06/04/2017","10:48:52","10:59"
"75",76,"Female","50 to 54","50 over","8","9","9","9","4","4","9","9","8","4","9","4","9","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","yes","no","no","yes","yes","yes","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","Microsoft","Nokia","Apple","Sony","Samsung","Nokia","Dell","IBM","Samsung","Yahoo","Samsung","Intel","no","yes","no","yes","no","no","no","yes","yes","no","$120,001 to $150,000","06/04/2017","10:42:31","06/04/2017","10:46:28","3:56"
"76",77,"Female","55 to 64","50 over","7","8","Not at all likely 0","8","Not at all likely 0","2","1","2","Not at all likely 0","5","1","7","6","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","IBM","Apple","Yahoo","Microsoft","Intel","Google","Intel","Google","Yahoo","Apple","Yahoo","yes","no","yes","no","no","no","no","yes","no","no","$200,001 or more","06/04/2017","10:42:44","06/04/2017","10:47:37","4:53"
"77",78,"Female","55 to 64","50 over","8","Extremely likely10","6","7","6","5","Extremely likely10","9","6","9","Extremely likely10","Extremely likely10","Extremely likely10","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","Microsoft","IBM","Nokia","Yahoo","Samsung","Intel","Sony","IBM","Samsung","Yahoo","Samsung","IBM","no","no","no","no","no","yes","no","no","no","no","$60,001 to $90,000","06/04/2017","10:42:50","06/04/2017","10:48:13","5:22"
"78",79,"Male","65 or more","50 over","9","1","2","8","Not at all likely 0","7","8","2","3","6","9","7","9","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Microsoft","Apple","Nokia","Samsung","Microsoft","Google","Intel","Samsung","Microsoft","Apple","Intel","yes","yes","yes","no","no","yes","yes","no","no","no","$45,001 to $60,000","06/04/2017","10:42:25","06/04/2017","10:48:41","6:15"
"79",80,"Male","30 to 34","18 to 34","5","5","5","5","5","5","5","5","5","5","5","5","5","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","yes","no","yes","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","Nokia","Apple","Nokia","Microsoft","Nokia","Google","Dell","Microsoft","Dell","IBM","Intel","no","no","yes","no","no","no","no","yes","yes","no","$150,001 to $200,000","06/04/2017","10:44:33","06/04/2017","11:03:02","18:28"
"80",81,"Female","55 to 64","50 over","6","5","5","6","5","6","7","5","5","5","5","7","6","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","Google","Microsoft","Sony","Apple","Nokia","Samsung","Google","IBM","Google","Samsung","Apple","Samsung","no","no","yes","yes","no","no","no","yes","no","no","$45,001 to $60,000","06/04/2017","10:44:30","06/04/2017","10:47:04","2:34"
"81",82,"Female","65 or more","50 over","7","4","4","4","Not at all likely 0","Not at all likely 0","5","5","4","4","5","5","4","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","Apple","IBM","Apple","Dell","Samsung","Intel","Sony","IBM","Samsung","Dell","Apple","IBM","yes","no","no","no","yes","yes","no","no","no","no","$30,001 to $45,000","06/04/2017","10:42:06","06/04/2017","10:49:00","6:53"
"82",83,"Female","35 to 39","35 to 49","Extremely likely10","5","5","5","5","5","9","9","5","5","8","5","5","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","yes","no","Apple","Nokia","Apple","Nokia","Samsung","Nokia","Sony","IBM","Samsung","Yahoo","Apple","Yahoo","yes","no","yes","no","no","no","yes","no","no","no","$200,001 or more","06/04/2017","10:44:49","06/04/2017","10:48:49","3:59"
"83",84,"Male","50 to 54","50 over","Not at all likely 0","5","5","5","5","Not at all likely 0","Extremely likely10","5","Not at all likely 0","5","Extremely likely10","5","5","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","yes","no","yes","yes","no","Google","Apple","Sony","Apple","Sony","Nokia","Sony","Dell","Samsung","Yahoo","Samsung","Apple","no","no","no","yes","no","no","no","no","yes","no","$120,001 to $150,000","06/04/2017","10:44:47","06/04/2017","10:49:15","4:28"
"84",85,"Male","45 to 49","35 to 49","Not at all likely 0","7","Not at all likely 0","9","5","7","1","5","1","5","9","9","1","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","yes","yes","no","yes","no","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","yes","yes","yes","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","yes","yes","no","no","no","no","yes","no","yes","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Google","Apple","Sony","Apple","Samsung","Nokia","Google","IBM","Samsung","Yahoo","Samsung","Apple","yes","yes","yes","yes","no","no","no","no","yes","no","$90.001 to $120,000","06/04/2017","10:44:47","06/04/2017","10:49:51","5:4"
"85",86,"Female","40 to 44","35 to 49","Extremely likely10","Extremely likely10","1","Extremely likely10","1","1","1","1","1","1","1","1","1","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","Apple","IBM","Apple","Dell","Nokia","Intel","Google","IBM","Google","Yahoo","Apple","Intel","no","no","yes","no","no","no","no","yes","no","no","$60,001 to $90,000","06/04/2017","10:51:23","06/04/2017","10:55:22","3:58"
"86",87,"Female","65 or more","50 over","9","6","5","9","5","7","8","5","6","5","6","5","8","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","yes","no","no","yes","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","yes","no","yes","yes","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","Apple","IBM","Apple","Yahoo","Sony","Nokia","Sony","Dell","Microsoft","Dell","Apple","IBM","no","yes","yes","no","no","yes","no","no","no","no","$60,001 to $90,000","06/04/2017","10:44:48","06/04/2017","10:53:48","9:0"
"87",88,"Male","40 to 44","35 to 49","9","6","4","6","9","7","8","9","3","7","7","8","8","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","Microsoft","Google","Sony","Yahoo","Microsoft","Nokia","Dell","Google","Microsoft","Google","Apple","Yahoo","yes","no","yes","yes","no","no","no","yes","yes","no","$60,001 to $90,000","06/04/2017","10:46:44","06/04/2017","10:52:47","6:2"
